Boat Type,Class,Club,Country,Place,Distance,Race Number,Time (s),Time,Round,ResultsPage,RoundNr,RoundSummary
V6,Elite Men,Aotearoa Nz,New Zealand,2,1500,014,460.61,7:40.61,Heat 3 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/014,1,Heat
V6,Elite Men,Hawaii - Lanikai,Hawai'i,1,1500,014,455.66,7:35.66,Heat 3 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/014,1,Heat
V6,Elite Men,New Caledonia,New Caledonia,DQ,1500,014,487.32,8:07.32,Heat 3 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/014,1,Heat
V6,Elite Men,PACIFICOS,Chile,3,1500,014,484.21,8:04.21,Heat 3 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/014,1,Heat
V6,Elite Women,Brazil,Brazil,2,1500,015,531.84,8:51.84,Heat 1 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/015,1,Heat
V6,Elite Women,Germany,Germany,4,1500,015,591.23,9:51.23,Heat 1 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/015,1,Heat
V6,Elite Women,Great Britain,Great Britain,1,1500,015,520.38,8:40.38,Heat 1 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/015,1,Heat
V6,Elite Women,Singapore,Singapore,DQ,1500,015,565.22,9:25.22,Heat 1 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/015,1,Heat
V6,Elite Women,USA,USA,3,1500,015,559.68,9:19.68,Heat 1 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/015,1,Heat
V6,Elite Women,Aotearoa Nz,New Zealand,1,1500,016,500.76,8:20.76,Heat 2 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/016,1,Heat
V6,Elite Women,Canada,Canada,3,1500,016,540.25,9:00.25,Heat 2 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/016,1,Heat
V6,Elite Women,Hawaii - Outrigger,Hawai'i,2,1500,016,503.01,8:23.01,Heat 2 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/016,1,Heat
V6,Elite Women,OCTUPUS,Chile,4,1500,016,584.47,9:44.47,Heat 2 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/016,1,Heat
