Race Number,Class,Boat Type,Distance,Round,ResultsPage,Place,Club,Country,Time,Time (s)
018,Master 70 Women,V1,500,Heat 2 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/018,1,MOHS Ann,Canada,3:26.65,206.65
018,Master 70 Women,V1,500,Heat 2 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/018,2,MCCOLL Barbara,Canada,3:30.52,210.52
018,Master 70 Women,V1,500,Heat 2 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/018,3,BLYTHE Jan,New Zealand,3:44.71,224.71
018,Master 70 Women,V1,500,Heat 2 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/018,4,ARCHDEKIN Lorene,Canada,3:49.96,229.96
018,Master 70 Women,V1,500,Heat 2 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/018,5,ALCANTARA Carmen,Brazil,3:50.22,230.22
018,Master 70 Women,V1,500,Heat 2 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/018,6,DICKINSON Charlene,USA,3:57.75,237.75
019,Master 70 Women,V1,500,Heat 3 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/019,1,TOWN Katherine,Canada,3:15.40,195.4
019,Master 70 Women,V1,500,Heat 3 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/019,2,JEAVONS Sue,Great Britain,3:33.17,213.17
019,Master 70 Women,V1,500,Heat 3 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/019,3,WEBSTER Liz,New Zealand,3:33.78,213.78
019,Master 70 Women,V1,500,Heat 3 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/019,4,LEITES Barbara,USA,3:52.29,232.29
019,Master 70 Women,V1,500,Heat 3 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/019,5,PIACUN Frances,New Zealand,4:00.11,240.11
019,Master 70 Women,V1,500,Heat 3 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/019,6,MARTIN Mary,Hawai'i,5:26.35,326.35
019A,Elite Men,V6,500,Repechage,https://www.liveresults.co.nz/competition/438/schedule/race/019A,1,Brazil,Brazil,1:55.88,115.88
019A,Elite Men,V6,500,Repechage,https://www.liveresults.co.nz/competition/438/schedule/race/019A,2,Canada,Canada,2:02.07,122.07
019A,Elite Men,V6,500,Repechage,https://www.liveresults.co.nz/competition/438/schedule/race/019A,3,Panama,Panama,2:03.04,123.04
019A,Elite Men,V6,500,Repechage,https://www.liveresults.co.nz/competition/438/schedule/race/019A,4,Great Britain,Great Britain,2:03.94,123.94
019A,Elite Men,V6,500,Repechage,https://www.liveresults.co.nz/competition/438/schedule/race/019A,5,Singapore,Singapore,2:07.82,127.82
019A,Elite Men,V6,500,Repechage,https://www.liveresults.co.nz/competition/438/schedule/race/019A,DNS,HERE TAINA,Chile,,null
019B,Elite Women,V6,500,Repechage,https://www.liveresults.co.nz/competition/438/schedule/race/019B,1,Brazil,Brazil,2:21.48,141.48
019B,Elite Women,V6,500,Repechage,https://www.liveresults.co.nz/competition/438/schedule/race/019B,2,Germany,Germany,2:23.99,143.99
019B,Elite Women,V6,500,Repechage,https://www.liveresults.co.nz/competition/438/schedule/race/019B,3,Singapore,Singapore,2:24.43,144.43
019B,Elite Women,V6,500,Repechage,https://www.liveresults.co.nz/competition/438/schedule/race/019B,4,USA,USA,2:29.65,149.65
019B,Elite Women,V6,500,Repechage,https://www.liveresults.co.nz/competition/438/schedule/race/019B,DNS,HERE TAINA,Chile,,null
020,Elite Junior Men,V6,500,St. Final,https://www.liveresults.co.nz/competition/438/schedule/race/020,1,Aotearoa Nz,New Zealand,1:58.17,118.17
